hts_code,category,month,country,general_imports_usd,consumption_imports_usd,scope_note
9406.10.0000,Prefabricated buildings of wood,2026-07,Canada,99508240,99508240,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Mexico,36852112,36852112,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Vietnam,33351216,33351216,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Estonia,16795216,16795216,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,China,16059168,16059168,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Finland,2229016,2229016,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Spain,1529880,1529880,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Latvia,1440432,1440432,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Germany,797832,797832,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Nicaragua,771752,771752,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Italy,524656,524656,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Poland,438008,438008,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Belgium,425440,425440,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,"Korea, South",415040,415040,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Ukraine,412760,412760,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Mongolia,392344,392344,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Bosnia and Herzegovina,195800,195800,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Lithuania,142424,142424,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,United Kingdom,90144,90144,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Turkey,51080,51080,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Romania,32000,32000,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Netherlands,9008,9008,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Denmark,6856,6856,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Indonesia,4352,4352,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,El Salvador,0,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Brazil,0,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Sweden,0,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,France,0,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Austria,0,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Switzerland,0,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Russia,0,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Georgia,0,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Slovenia,0,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Serbia,0,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Lebanon,0,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,United Arab Emirates,0,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,India,0,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Thailand,0,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Malaysia,0,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Philippines,0,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Hong Kong,0,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Japan,0,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,Australia,0,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
8516.29.0090,Other electric space heating apparatus,2026-07,China,57849336,57811992,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Canada,49316352,49316352,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Italy,29725648,29725648,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Mexico,26644160,26644160,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
