hts_code,category,month,general_imports_usd,consumption_imports_usd,general_ytd_usd,consumption_ytd_usd,census_last_update,scope_note
9406.10.0000,Prefabricated buildings of wood,2023-08,158120600,158120600,1291591072,1291591072,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2023-09,114682744,114682744,1406273816,1406273816,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2023-10,150096312,150096312,1556370128,1556370128,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2023-11,177604704,177604704,1733974832,1733974832,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2023-12,149478888,149478888,1883453720,1883453720,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2024-01,168945512,168945512,168945512,168945512,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2024-02,172173600,172173600,341119112,341119112,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2024-03,139389216,139389216,480508328,480508328,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2024-04,111316304,111316304,591824632,591824632,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2024-05,126766640,126766640,718591272,718591272,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2024-06,132097824,132097824,850689096,850689096,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2024-07,163475848,163475848,1014164944,1014164944,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
