hts_code,source_code,category,month,general_imports_usd,consumption_imports_usd,general_ytd_usd,consumption_ytd_usd,census_last_update,scope_note
9406.10.0000,9406.00.4000,Prefabricated buildings of wood,2010-01,29636192,29636192,29636192,29636192,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,9406.00.4000,Prefabricated buildings of wood,2010-02,19891792,19891792,49527984,49527984,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,9406.00.4000,Prefabricated buildings of wood,2010-03,26501880,26501880,76029864,76029864,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,9406.00.4000,Prefabricated buildings of wood,2010-04,26625608,26625608,102655472,102655472,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,9406.00.4000,Prefabricated buildings of wood,2010-05,34645376,34645376,137300848,137300848,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,9406.00.4000,Prefabricated buildings of wood,2010-06,40577040,40577040,177877888,177877888,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,9406.00.4000,Prefabricated buildings of wood,2010-07,33574944,33574944,211452832,211452832,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,9406.00.4000,Prefabricated buildings of wood,2010-08,41842656,41842656,253295488,253295488,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,9406.00.4000,Prefabricated buildings of wood,2010-09,26301904,26301904,279597392,279597392,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,9406.00.4000,Prefabricated buildings of wood,2010-10,49323600,49323600,328920992,328920992,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,9406.00.4000,Prefabricated buildings of wood,2010-11,51128680,51128680,380049672,380049672,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,9406.00.4000,Prefabricated buildings of wood,2010-12,22275512,22275512,402325184,402325184,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,9406.00.4000,Prefabricated buildings of wood,2011-01,16490584,16490584,16490584,16490584,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,9406.00.4000,Prefabricated buildings of wood,2011-02,18678288,18678288,35168872,35168872,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,9406.00.4000,Prefabricated buildings of wood,2011-03,25618616,25618616,60787488,60787488,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,9406.00.4000,Prefabricated buildings of wood,2011-04,30288416,30288416,91075904,91075904,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,9406.00.4000,Prefabricated buildings of wood,2011-05,34432224,34432224,125508128,125508128,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,9406.00.4000,Prefabricated buildings of wood,2011-06,62890832,62890832,188398960,188398960,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,9406.00.4000,Prefabricated buildings of wood,2011-07,78587784,78587784,266986744,266986744,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,9406.00.4000,Prefabricated buildings of wood,2011-08,35998280,35998280,302985024,302985024,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,9406.00.4000,Prefabricated buildings of wood,2011-09,21386864,21386864,324371888,324371888,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,9406.00.4000,Prefabricated buildings of wood,2011-10,37035232,37035232,361407120,361407120,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,9406.00.4000,Prefabricated buildings of wood,2011-11,33126280,33126280,394533400,394533400,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
